,2030,2060
1.Population_Grid,15553706.774291215,36154003.43666929
1.Population_SA_Diesel,0,0
1.Population_SA_PV,905719.122804758,363067.16840827675
1.Population_MG_Diesel,0,0
1.Population_MG_PV,0,0
1.Population_MG_Wind,0,0
1.Population_MG_Hydro,44943.11089218083,7000.471178240812
1.Population_MG_PV_Hybrid,7662234.28582714,1808941.8796226773
1.Population_MG_Wind_Hybrid,3702.539594514158,4345.978878669148
2.New_Connections_Grid,6832734.971323039,13546438.776170082
2.New_Connections_SA_Diesel,0,0
2.New_Connections_SA_PV,905719.122804758,139132.56767849775
2.New_Connections_MG_Diesel,0,0
2.New_Connections_MG_PV,0,0
2.New_Connections_MG_Wind,0,0
2.New_Connections_MG_Hydro,44943.11089218083,2667.5811161100046
2.New_Connections_MG_PV_Hybrid,7662234.28582714,700932.8644257383
2.New_Connections_MG_Wind_Hybrid,3702.539594514158,1667.3119573160636
3.Capacity_Grid,3360666.0778927975,10076810.215259744
3.Capacity_SA_Diesel,0,0
3.Capacity_SA_PV,19886.84902797467,4620.856221731039
3.Capacity_MG_Diesel,0,0
3.Capacity_MG_PV,0,0
3.Capacity_MG_Wind,0,0
3.Capacity_MG_Hydro,17741.10628318875,896.5701743064844
3.Capacity_MG_PV_Hybrid,5224491.840261346,271346.08234271425
3.Capacity_MG_Wind_Hybrid,1010.3610340133988,467.80666331937186
4.Investment_Grid,7989461652.3866825,21345581613.36508
4.Investment_SA_Diesel,0,0
4.Investment_SA_PV,131035538.77739674,30803786.481594108
4.Investment_MG_Diesel,0,0
4.Investment_MG_PV,0,0
4.Investment_MG_Wind,0,0
4.Investment_MG_Hydro,50441899.457141906,3409139.9630171843
4.Investment_MG_PV_Hybrid,36067816464.48707,1741938631.3394294
4.Investment_MG_Wind_Hybrid,8771309.821397964,3621394.1979758167
